,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.736,0.57,9,-7.002,0,0.0391,0.32,0.0,0.0776,0.73,102.037,audio_features,5HtoF6Y7wIG8tsm1jUadYv,spotify:track:5HtoF6Y7wIG8tsm1jUadYv,https://api.spotify.com/v1/tracks/5HtoF6Y7wIG8tsm1jUadYv,https://api.spotify.com/v1/audio-analysis/5HtoF6Y7wIG8tsm1jUadYv,166093,4
1,0.803,0.627,1,-8.633,1,0.153,0.039,1.02e-05,0.125,0.635,100.065,audio_features,2Aclmq2hOrMMR2EO02vgPi,spotify:track:2Aclmq2hOrMMR2EO02vgPi,https://api.spotify.com/v1/tracks/2Aclmq2hOrMMR2EO02vgPi,https://api.spotify.com/v1/audio-analysis/2Aclmq2hOrMMR2EO02vgPi,192935,4
2,0.872,0.919,0,-4.968,1,0.0528,0.277,4.78e-06,0.337,0.977,136.032,audio_features,5i2IIfvlRnOU0dQ7nngdJ9,spotify:track:5i2IIfvlRnOU0dQ7nngdJ9,https://api.spotify.com/v1/tracks/5i2IIfvlRnOU0dQ7nngdJ9,https://api.spotify.com/v1/audio-analysis/5i2IIfvlRnOU0dQ7nngdJ9,157935,4
3,0.831,0.794,9,-5.301,1,0.254,0.112,0.0,0.137,0.648,145.16,audio_features,7bSm19xwieBWSQzzgAxPwh,spotify:track:7bSm19xwieBWSQzzgAxPwh,https://api.spotify.com/v1/tracks/7bSm19xwieBWSQzzgAxPwh,https://api.spotify.com/v1/audio-analysis/7bSm19xwieBWSQzzgAxPwh,153028,4
4,0.837,0.645,0,-7.332,1,0.218,0.102,0.000473,0.066,0.717,91.997,audio_features,1BkaDgv8yN0mOSvHroZI6Y,spotify:track:1BkaDgv8yN0mOSvHroZI6Y,https://api.spotify.com/v1/tracks/1BkaDgv8yN0mOSvHroZI6Y,https://api.spotify.com/v1/audio-analysis/1BkaDgv8yN0mOSvHroZI6Y,157191,4
5,0.89,0.839,7,-4.953,0,0.146,0.354,2.15e-06,0.084,0.556,92.017,audio_features,6SXriqucN1zgSv3wEkKhwh,spotify:track:6SXriqucN1zgSv3wEkKhwh,https://api.spotify.com/v1/tracks/6SXriqucN1zgSv3wEkKhwh,https://api.spotify.com/v1/audio-analysis/6SXriqucN1zgSv3wEkKhwh,159013,4
6,0.579,0.921,11,-2.388,0,0.074,0.18,0.0,0.112,0.763,178.062,audio_features,03IGNhPQsgLd6tSNarQgkG,spotify:track:03IGNhPQsgLd6tSNarQgkG,https://api.spotify.com/v1/tracks/03IGNhPQsgLd6tSNarQgkG,https://api.spotify.com/v1/audio-analysis/03IGNhPQsgLd6tSNarQgkG,134831,4
7,0.846,0.8,5,-4.926,0,0.0875,0.0503,2.16e-06,0.0801,0.887,101.989,audio_features,1K6xI8ss3E0bBWE8ljRQS2,spotify:track:1K6xI8ss3E0bBWE8ljRQS2,https://api.spotify.com/v1/tracks/1K6xI8ss3E0bBWE8ljRQS2,https://api.spotify.com/v1/audio-analysis/1K6xI8ss3E0bBWE8ljRQS2,157531,4
8,0.693,0.68,2,-7.408,0,0.0661,0.468,1e-06,0.118,0.351,88.888,audio_features,5cOMNVN6kTWvOdcLd7SWej,spotify:track:5cOMNVN6kTWvOdcLd7SWej,https://api.spotify.com/v1/tracks/5cOMNVN6kTWvOdcLd7SWej,https://api.spotify.com/v1/audio-analysis/5cOMNVN6kTWvOdcLd7SWej,242697,4
9,0.621,0.75,5,-6.602,0,0.135,0.114,0.0,0.103,0.352,90.054,audio_features,4mFDARNcAMmqq4qwTbIFjJ,spotify:track:4mFDARNcAMmqq4qwTbIFjJ,https://api.spotify.com/v1/tracks/4mFDARNcAMmqq4qwTbIFjJ,https://api.spotify.com/v1/audio-analysis/4mFDARNcAMmqq4qwTbIFjJ,152000,4
10,0.695,0.69,1,-5.254,0,0.0996,0.554,0.000488,0.105,0.665,165.111,audio_features,6nDphPUDybyCP4VqO3lCUo,spotify:track:6nDphPUDybyCP4VqO3lCUo,https://api.spotify.com/v1/tracks/6nDphPUDybyCP4VqO3lCUo,https://api.spotify.com/v1/audio-analysis/6nDphPUDybyCP4VqO3lCUo,144578,4
11,0.771,0.831,8,-5.274,0,0.0861,0.212,0.0,0.125,0.596,102.991,audio_features,0pjKLW8KX17OqJa9jF6Qda,spotify:track:0pjKLW8KX17OqJa9jF6Qda,https://api.spotify.com/v1/tracks/0pjKLW8KX17OqJa9jF6Qda,https://api.spotify.com/v1/audio-analysis/0pjKLW8KX17OqJa9jF6Qda,167769,4
