,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.384,0.145,7,-17.085,1,0.0404,0.907,0.96,0.189,0.315,137.247,audio_features,6mfzChQftMMOpP6Z67VLeu,spotify:track:6mfzChQftMMOpP6Z67VLeu,https://api.spotify.com/v1/tracks/6mfzChQftMMOpP6Z67VLeu,https://api.spotify.com/v1/audio-analysis/6mfzChQftMMOpP6Z67VLeu,249440,4
1,0.314,0.0685,2,-22.735,1,0.0434,0.941,0.843,0.106,0.267,121.493,audio_features,5fdon9TgytAa4tlqOpyyQW,spotify:track:5fdon9TgytAa4tlqOpyyQW,https://api.spotify.com/v1/tracks/5fdon9TgytAa4tlqOpyyQW,https://api.spotify.com/v1/audio-analysis/5fdon9TgytAa4tlqOpyyQW,282680,4
2,0.609,0.156,2,-17.132,1,0.0398,0.952,0.824,0.133,0.527,114.445,audio_features,2k2R4zWN7aExiUCNjDpDTi,spotify:track:2k2R4zWN7aExiUCNjDpDTi,https://api.spotify.com/v1/tracks/2k2R4zWN7aExiUCNjDpDTi,https://api.spotify.com/v1/audio-analysis/2k2R4zWN7aExiUCNjDpDTi,249440,3
3,0.299,0.21,9,-24.253,1,0.0458,0.969,0.911,0.109,0.452,80.493,audio_features,0S8yo2xOM4kcACHXXsezRW,spotify:track:0S8yo2xOM4kcACHXXsezRW,https://api.spotify.com/v1/tracks/0S8yo2xOM4kcACHXXsezRW,https://api.spotify.com/v1/audio-analysis/0S8yo2xOM4kcACHXXsezRW,220480,4
4,0.299,0.237,1,-19.889,1,0.0374,0.992,0.908,0.138,0.743,107.302,audio_features,1ddWQGWo5FMmhPekb5cQKA,spotify:track:1ddWQGWo5FMmhPekb5cQKA,https://api.spotify.com/v1/tracks/1ddWQGWo5FMmhPekb5cQKA,https://api.spotify.com/v1/audio-analysis/1ddWQGWo5FMmhPekb5cQKA,107680,5
5,0.142,0.106,5,-20.689,1,0.0362,0.961,0.955,0.111,0.0734,177.751,audio_features,6j5d8QzpvSSF5SKoKxmStT,spotify:track:6j5d8QzpvSSF5SKoKxmStT,https://api.spotify.com/v1/tracks/6j5d8QzpvSSF5SKoKxmStT,https://api.spotify.com/v1/audio-analysis/6j5d8QzpvSSF5SKoKxmStT,166533,3
6,0.417,0.163,0,-21.881,1,0.05,0.993,0.896,0.212,0.829,165.504,audio_features,0LcXTEC97QKXmbxk6VLT7v,spotify:track:0LcXTEC97QKXmbxk6VLT7v,https://api.spotify.com/v1/tracks/0LcXTEC97QKXmbxk6VLT7v,https://api.spotify.com/v1/audio-analysis/0LcXTEC97QKXmbxk6VLT7v,225787,4
7,0.499,0.129,9,-22.016,1,0.0387,0.991,0.895,0.127,0.661,124.814,audio_features,0RJIXWRWObPk5CILTk2M2e,spotify:track:0RJIXWRWObPk5CILTk2M2e,https://api.spotify.com/v1/tracks/0RJIXWRWObPk5CILTk2M2e,https://api.spotify.com/v1/audio-analysis/0RJIXWRWObPk5CILTk2M2e,218107,4
8,0.0931,0.096,11,-21.719,0,0.04,0.988,0.884,0.0722,0.0578,62.466,audio_features,15urtIPEkWIm8dpBL1KUxw,spotify:track:15urtIPEkWIm8dpBL1KUxw,https://api.spotify.com/v1/tracks/15urtIPEkWIm8dpBL1KUxw,https://api.spotify.com/v1/audio-analysis/15urtIPEkWIm8dpBL1KUxw,171907,4
9,0.141,0.0962,9,-19.93,0,0.0499,0.99,0.897,0.332,0.03,65.257,audio_features,5ZeFSftERTq0cuDv2woC6T,spotify:track:5ZeFSftERTq0cuDv2woC6T,https://api.spotify.com/v1/tracks/5ZeFSftERTq0cuDv2woC6T,https://api.spotify.com/v1/audio-analysis/5ZeFSftERTq0cuDv2woC6T,159320,4
10,0.153,0.111,2,-19.729,1,0.0341,0.981,0.84,0.0991,0.0366,79.903,audio_features,2sTnjuSUrrgzdIdpPADAqr,spotify:track:2sTnjuSUrrgzdIdpPADAqr,https://api.spotify.com/v1/tracks/2sTnjuSUrrgzdIdpPADAqr,https://api.spotify.com/v1/audio-analysis/2sTnjuSUrrgzdIdpPADAqr,176907,4
11,0.118,0.0679,4,-24.89,0,0.0424,0.981,0.93,0.0986,0.0357,83.354,audio_features,7FkOuhns0F8XcaJCyWb8vU,spotify:track:7FkOuhns0F8XcaJCyWb8vU,https://api.spotify.com/v1/tracks/7FkOuhns0F8XcaJCyWb8vU,https://api.spotify.com/v1/audio-analysis/7FkOuhns0F8XcaJCyWb8vU,246293,4
12,0.172,0.0706,0,-22.758,0,0.0419,0.98,0.879,0.0912,0.0709,133.793,audio_features,0MBKsypuLXdh5H9kDbFP35,spotify:track:0MBKsypuLXdh5H9kDbFP35,https://api.spotify.com/v1/tracks/0MBKsypuLXdh5H9kDbFP35,https://api.spotify.com/v1/audio-analysis/0MBKsypuLXdh5H9kDbFP35,317760,4
