,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,audio_features,31nfdEooLEq7dn3UMcIeB5,spotify:track:31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5,https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5,178156,4
1,0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,audio_features,2HafqoJbgXdtjwCOvNEF14,spotify:track:2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/tracks/2HafqoJbgXdtjwCOvNEF14,https://api.spotify.com/v1/audio-analysis/2HafqoJbgXdtjwCOvNEF14,184061,4
2,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
3,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
4,0.752,0.571,2,-6.422,1,0.051,0.0723,0.529,0.314,0.492,169.155,audio_features,6FGPpwHlUBnl0TLGKyN4Nl,spotify:track:6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/tracks/6FGPpwHlUBnl0TLGKyN4Nl,https://api.spotify.com/v1/audio-analysis/6FGPpwHlUBnl0TLGKyN4Nl,83672,4
5,0.708,0.804,7,-6.763,1,0.142,0.297,9.11e-05,0.111,0.827,170.944,audio_features,6WbDwAoc5xr0kFflHZW0A4,spotify:track:6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/tracks/6WbDwAoc5xr0kFflHZW0A4,https://api.spotify.com/v1/audio-analysis/6WbDwAoc5xr0kFflHZW0A4,181053,4
6,0.796,0.865,9,-6.76,0,0.0801,0.179,0.0114,0.0852,0.768,130.012,audio_features,4mVnqNiw2Kf5AHj9j0KD6u,spotify:track:4mVnqNiw2Kf5AHj9j0KD6u,https://api.spotify.com/v1/tracks/4mVnqNiw2Kf5AHj9j0KD6u,https://api.spotify.com/v1/audio-analysis/4mVnqNiw2Kf5AHj9j0KD6u,136988,4
7,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4
8,0.666,0.73,8,-4.585,1,0.233,0.224,0.0,0.121,0.498,159.92,audio_features,3T33so3escAbwbrgcIqyRa,spotify:track:3T33so3escAbwbrgcIqyRa,https://api.spotify.com/v1/tracks/3T33so3escAbwbrgcIqyRa,https://api.spotify.com/v1/audio-analysis/3T33so3escAbwbrgcIqyRa,174027,4
9,0.914,0.489,9,-7.722,1,0.0858,0.12,0.0,0.0852,0.559,108.072,audio_features,3an1JVi8OsE0aG6dMS4Pes,spotify:track:3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/tracks/3an1JVi8OsE0aG6dMS4Pes,https://api.spotify.com/v1/audio-analysis/3an1JVi8OsE0aG6dMS4Pes,136360,4
