,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.684,0.914,11,-4.177,0,0.182,0.0795,0.0,0.955,0.874,133.025,audio_features,69rxNabJHmfM6LSvk9Aaff,spotify:track:69rxNabJHmfM6LSvk9Aaff,https://api.spotify.com/v1/tracks/69rxNabJHmfM6LSvk9Aaff,https://api.spotify.com/v1/audio-analysis/69rxNabJHmfM6LSvk9Aaff,191613,4
1,0.655,0.997,6,-2.643,1,0.0367,0.0181,0.0574,0.324,0.924,121.053,audio_features,7xXSaVgEvUrV1GCc3oO8HC,spotify:track:7xXSaVgEvUrV1GCc3oO8HC,https://api.spotify.com/v1/tracks/7xXSaVgEvUrV1GCc3oO8HC,https://api.spotify.com/v1/audio-analysis/7xXSaVgEvUrV1GCc3oO8HC,237693,4
2,0.619,0.974,9,-7.039,0,0.0277,0.146,0.00162,0.132,0.701,131.963,audio_features,0IbTukfZdB91gclEXUQZkH,spotify:track:0IbTukfZdB91gclEXUQZkH,https://api.spotify.com/v1/tracks/0IbTukfZdB91gclEXUQZkH,https://api.spotify.com/v1/audio-analysis/0IbTukfZdB91gclEXUQZkH,214533,4
3,0.824,0.925,11,-5.814,0,0.0965,0.0263,0.376,0.247,0.554,163.854,audio_features,2vlgOAH3M8Fmo19wOjeRyw,spotify:track:2vlgOAH3M8Fmo19wOjeRyw,https://api.spotify.com/v1/tracks/2vlgOAH3M8Fmo19wOjeRyw,https://api.spotify.com/v1/audio-analysis/2vlgOAH3M8Fmo19wOjeRyw,306000,4
4,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,audio_features,0v1XpBHnsbkCn7iJ9Ucr1l,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/tracks/0v1XpBHnsbkCn7iJ9Ucr1l,https://api.spotify.com/v1/audio-analysis/0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
5,0.851,0.898,7,-3.707,1,0.0339,0.0403,0.0,0.326,0.628,131.979,audio_features,5qAtXePWHaJMSCjz2kMyeX,spotify:track:5qAtXePWHaJMSCjz2kMyeX,https://api.spotify.com/v1/tracks/5qAtXePWHaJMSCjz2kMyeX,https://api.spotify.com/v1/audio-analysis/5qAtXePWHaJMSCjz2kMyeX,181023,4
6,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,spotify:track:3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4
7,0.684,0.965,0,-3.57,1,0.0686,0.00486,3.46e-06,0.313,0.951,138.06,audio_features,4Rx40k8wqRzxTiJTWKrbge,spotify:track:4Rx40k8wqRzxTiJTWKrbge,https://api.spotify.com/v1/tracks/4Rx40k8wqRzxTiJTWKrbge,https://api.spotify.com/v1/audio-analysis/4Rx40k8wqRzxTiJTWKrbge,208190,4
8,0.755,0.399,1,-12.774,0,0.046,0.000432,0.000801,0.182,0.911,124.99,audio_features,3gvnl2C7MywPBNnspyax35,spotify:track:3gvnl2C7MywPBNnspyax35,https://api.spotify.com/v1/tracks/3gvnl2C7MywPBNnspyax35,https://api.spotify.com/v1/audio-analysis/3gvnl2C7MywPBNnspyax35,208440,4
9,0.762,0.806,1,-5.174,1,0.0304,0.29,0.00037,0.217,0.966,95.02,audio_features,3VRrv9MAkOOaYdbfgYxYrw,spotify:track:3VRrv9MAkOOaYdbfgYxYrw,https://api.spotify.com/v1/tracks/3VRrv9MAkOOaYdbfgYxYrw,https://api.spotify.com/v1/audio-analysis/3VRrv9MAkOOaYdbfgYxYrw,205560,4
