,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.415,0.49,10,-7.354,1,0.0355,0.0385,0.0,0.114,0.285,140.001,audio_features,48uMa4ILMAkAGReyJ7YwyP,spotify:track:48uMa4ILMAkAGReyJ7YwyP,https://api.spotify.com/v1/tracks/48uMa4ILMAkAGReyJ7YwyP,https://api.spotify.com/v1/audio-analysis/48uMa4ILMAkAGReyJ7YwyP,489289,4
1,0.322,0.764,5,-6.219,1,0.0405,0.0553,0.0,0.913,0.328,74.612,audio_features,2oL0dsIB6ucoYNxzu33cDd,spotify:track:2oL0dsIB6ucoYNxzu33cDd,https://api.spotify.com/v1/tracks/2oL0dsIB6ucoYNxzu33cDd,https://api.spotify.com/v1/audio-analysis/2oL0dsIB6ucoYNxzu33cDd,368627,4
2,0.396,0.523,0,-9.795,1,0.0288,0.191,0.0,0.103,0.222,76.979,audio_features,4MzS1PHXy8o2TOoWXyriKa,spotify:track:4MzS1PHXy8o2TOoWXyriKa,https://api.spotify.com/v1/tracks/4MzS1PHXy8o2TOoWXyriKa,https://api.spotify.com/v1/audio-analysis/4MzS1PHXy8o2TOoWXyriKa,354827,4
3,0.4,0.501,7,-8.995,1,0.0303,0.459,1.7e-06,0.395,0.223,131.667,audio_features,1C56cPlEJ44BiOE4ap50GG,spotify:track:1C56cPlEJ44BiOE4ap50GG,https://api.spotify.com/v1/tracks/1C56cPlEJ44BiOE4ap50GG,https://api.spotify.com/v1/audio-analysis/1C56cPlEJ44BiOE4ap50GG,423939,4
4,0.393,0.683,0,-8.421,1,0.0337,0.119,0.0,0.149,0.314,74.831,audio_features,1TsLFb6fZy9mGcsc7mLlzW,spotify:track:1TsLFb6fZy9mGcsc7mLlzW,https://api.spotify.com/v1/tracks/1TsLFb6fZy9mGcsc7mLlzW,https://api.spotify.com/v1/audio-analysis/1TsLFb6fZy9mGcsc7mLlzW,397280,4
5,0.418,0.496,2,-10.462,1,0.0413,0.276,7.68e-05,0.123,0.085,135.954,audio_features,67e03pXbxrEKFAEfWOzX9j,spotify:track:67e03pXbxrEKFAEfWOzX9j,https://api.spotify.com/v1/tracks/67e03pXbxrEKFAEfWOzX9j,https://api.spotify.com/v1/audio-analysis/67e03pXbxrEKFAEfWOzX9j,431187,4
6,0.519,0.303,7,-14.027,1,0.0261,0.735,0.0,0.225,0.346,77.811,audio_features,4geZwUaXdkqXTWJ5SQYBoy,spotify:track:4geZwUaXdkqXTWJ5SQYBoy,https://api.spotify.com/v1/tracks/4geZwUaXdkqXTWJ5SQYBoy,https://api.spotify.com/v1/audio-analysis/4geZwUaXdkqXTWJ5SQYBoy,311733,4
7,0.551,0.368,3,-12.64,1,0.0285,0.549,4.68e-05,0.0951,0.202,112.459,audio_features,0Cjn8bn4mpMBdVcb0Ag5oS,spotify:track:0Cjn8bn4mpMBdVcb0Ag5oS,https://api.spotify.com/v1/tracks/0Cjn8bn4mpMBdVcb0Ag5oS,https://api.spotify.com/v1/audio-analysis/0Cjn8bn4mpMBdVcb0Ag5oS,202707,4
8,0.551,0.483,4,-11.575,1,0.0327,0.536,2.53e-06,0.18,0.33,104.872,audio_features,0Qd3dzdqYsrs7DxjOh2kcD,spotify:track:0Qd3dzdqYsrs7DxjOh2kcD,https://api.spotify.com/v1/tracks/0Qd3dzdqYsrs7DxjOh2kcD,https://api.spotify.com/v1/audio-analysis/0Qd3dzdqYsrs7DxjOh2kcD,247608,4
9,0.478,0.441,5,-10.184,1,0.0287,0.198,0.0,0.0858,0.307,164.016,audio_features,5SFexaT28bOrGKu5qyEGrY,spotify:track:5SFexaT28bOrGKu5qyEGrY,https://api.spotify.com/v1/tracks/5SFexaT28bOrGKu5qyEGrY,https://api.spotify.com/v1/audio-analysis/5SFexaT28bOrGKu5qyEGrY,330711,4
10,0.39,0.214,7,-12.671,1,0.0322,0.571,0.0,0.101,0.17,86.603,audio_features,3DlKyLutUrZNoh6TRofjld,spotify:track:3DlKyLutUrZNoh6TRofjld,https://api.spotify.com/v1/tracks/3DlKyLutUrZNoh6TRofjld,https://api.spotify.com/v1/audio-analysis/3DlKyLutUrZNoh6TRofjld,266560,4
11,0.665,0.278,2,-15.775,1,0.0351,0.681,0.0821,0.11,0.13,106.963,audio_features,2Ee5HbLekyyGfawVHoFHaD,spotify:track:2Ee5HbLekyyGfawVHoFHaD,https://api.spotify.com/v1/tracks/2Ee5HbLekyyGfawVHoFHaD,https://api.spotify.com/v1/audio-analysis/2Ee5HbLekyyGfawVHoFHaD,329960,4
12,0.361,0.774,7,-6.411,1,0.0309,0.0036,0.0,0.138,0.196,74.945,audio_features,3ZAVdR1FEN3Zyd3WJEiqc5,spotify:track:3ZAVdR1FEN3Zyd3WJEiqc5,https://api.spotify.com/v1/tracks/3ZAVdR1FEN3Zyd3WJEiqc5,https://api.spotify.com/v1/audio-analysis/3ZAVdR1FEN3Zyd3WJEiqc5,362666,4
13,0.387,0.389,7,-10.923,1,0.0311,0.475,0.0,0.0837,0.311,158.244,audio_features,0bN7vzLFjmfO5lfELifvN9,spotify:track:0bN7vzLFjmfO5lfELifvN9,https://api.spotify.com/v1/tracks/0bN7vzLFjmfO5lfELifvN9,https://api.spotify.com/v1/audio-analysis/0bN7vzLFjmfO5lfELifvN9,313773,3
14,0.387,0.319,0,-11.048,1,0.0303,0.895,0.0,0.125,0.184,120.384,audio_features,1EB4OtLCEaeckKB9hx0GcE,spotify:track:1EB4OtLCEaeckKB9hx0GcE,https://api.spotify.com/v1/tracks/1EB4OtLCEaeckKB9hx0GcE,https://api.spotify.com/v1/audio-analysis/1EB4OtLCEaeckKB9hx0GcE,282107,4
15,0.528,0.651,9,-9.571,1,0.0315,0.00234,2.88e-05,0.0961,0.371,80.975,audio_features,45byukC56V1RjURzXAIRMt,spotify:track:45byukC56V1RjURzXAIRMt,https://api.spotify.com/v1/tracks/45byukC56V1RjURzXAIRMt,https://api.spotify.com/v1/audio-analysis/45byukC56V1RjURzXAIRMt,284121,4
16,0.289,0.248,2,-13.725,1,0.0363,0.781,0.0,0.336,0.295,77.894,audio_features,3bu7ZfLoh07CYmj93j8weC,spotify:track:3bu7ZfLoh07CYmj93j8weC,https://api.spotify.com/v1/tracks/3bu7ZfLoh07CYmj93j8weC,https://api.spotify.com/v1/audio-analysis/3bu7ZfLoh07CYmj93j8weC,205507,4
