,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.584,0.673,1,-4.953,1,0.133,0.433,0.0,0.134,0.671,93.78,audio_features,6v4hy0HVwumS5S2juehVbZ,spotify:track:6v4hy0HVwumS5S2juehVbZ,https://api.spotify.com/v1/tracks/6v4hy0HVwumS5S2juehVbZ,https://api.spotify.com/v1/audio-analysis/6v4hy0HVwumS5S2juehVbZ,188936,4
1,0.821,0.482,6,-9.976,1,0.0941,0.161,2.71e-06,0.0885,0.647,93.043,audio_features,05A6mr7C2bP7uPrEQrj9qk,spotify:track:05A6mr7C2bP7uPrEQrj9qk,https://api.spotify.com/v1/tracks/05A6mr7C2bP7uPrEQrj9qk,https://api.spotify.com/v1/audio-analysis/05A6mr7C2bP7uPrEQrj9qk,220394,4
2,0.903,0.428,6,-14.557,1,0.247,0.0335,6.23e-06,0.0623,0.503,115.029,audio_features,5mhM7bfzv52bzfCzlq8vH1,spotify:track:5mhM7bfzv52bzfCzlq8vH1,https://api.spotify.com/v1/tracks/5mhM7bfzv52bzfCzlq8vH1,https://api.spotify.com/v1/audio-analysis/5mhM7bfzv52bzfCzlq8vH1,217566,4
3,0.406,0.5,4,-8.452,0,0.0501,0.192,0.0,0.175,0.0905,157.984,audio_features,3XqM8hLCEYlbnFjoWwqtFv,spotify:track:3XqM8hLCEYlbnFjoWwqtFv,https://api.spotify.com/v1/tracks/3XqM8hLCEYlbnFjoWwqtFv,https://api.spotify.com/v1/audio-analysis/3XqM8hLCEYlbnFjoWwqtFv,306847,4
4,0.808,0.634,2,-6.764,0,0.172,0.0851,0.0,0.127,0.569,100.03,audio_features,4RoKNqyZ9622tcAeNPNv5k,spotify:track:4RoKNqyZ9622tcAeNPNv5k,https://api.spotify.com/v1/tracks/4RoKNqyZ9622tcAeNPNv5k,https://api.spotify.com/v1/audio-analysis/4RoKNqyZ9622tcAeNPNv5k,153347,4
5,0.778,0.801,6,-7.326,0,0.106,0.692,0.000155,0.0912,0.914,104.986,audio_features,5ZtK8XAVnoaGdBXZWCEVCY,spotify:track:5ZtK8XAVnoaGdBXZWCEVCY,https://api.spotify.com/v1/tracks/5ZtK8XAVnoaGdBXZWCEVCY,https://api.spotify.com/v1/audio-analysis/5ZtK8XAVnoaGdBXZWCEVCY,157714,4
6,0.774,0.611,6,-7.077,1,0.126,0.108,0.0,0.116,0.808,100.011,audio_features,5HM5trJxTouv3eUVcbW8sh,spotify:track:5HM5trJxTouv3eUVcbW8sh,https://api.spotify.com/v1/tracks/5HM5trJxTouv3eUVcbW8sh,https://api.spotify.com/v1/audio-analysis/5HM5trJxTouv3eUVcbW8sh,231109,4
7,0.588,0.486,8,-9.001,0,0.0856,0.232,0.0,0.358,0.572,117.025,audio_features,7onM6Fbiu7ufnMQnbd5oZJ,spotify:track:7onM6Fbiu7ufnMQnbd5oZJ,https://api.spotify.com/v1/tracks/7onM6Fbiu7ufnMQnbd5oZJ,https://api.spotify.com/v1/audio-analysis/7onM6Fbiu7ufnMQnbd5oZJ,170000,5
8,0.724,0.809,6,-5.022,0,0.0929,0.182,0.0,0.0765,0.606,99.005,audio_features,7vKXc90NT5WBm3UTT4iTVG,spotify:track:7vKXc90NT5WBm3UTT4iTVG,https://api.spotify.com/v1/tracks/7vKXc90NT5WBm3UTT4iTVG,https://api.spotify.com/v1/audio-analysis/7vKXc90NT5WBm3UTT4iTVG,194040,4
9,0.837,0.831,2,-6.21,1,0.08,0.0923,0.176,0.0819,0.529,111.978,audio_features,1mk8ZC9OeTZMr8Wy31LqRj,spotify:track:1mk8ZC9OeTZMr8Wy31LqRj,https://api.spotify.com/v1/tracks/1mk8ZC9OeTZMr8Wy31LqRj,https://api.spotify.com/v1/audio-analysis/1mk8ZC9OeTZMr8Wy31LqRj,154513,4
